,rnum,publisher,creator,collectionDb,title,subjectKeyword,referenceIdentifier,alternativeTitle,extent,medium,temporal,reference,rights,source,charge,venue,time,description,subDescription,spatial,url
0,1,,공공데이터포털,시티투어데이터 DB,어라운드 강남 코스,,,,순환형,,,시티투어문의처: 02-777-6090(서울시티투어버스 본점) | 관리기관문의처: 02-3423-5546,서울특별시 강남구청,http://www.seoulcitybus.com,성인15000/소인12000 | 강남북 통합권성인 24000원~35000원,탑승장소: 강남역 및 어라운드 강남코스 모든 정류소,연중 화요일~일요일 운행(매주 월요일 휴행),코스정보: 강남역/노보텔 르메르디앙서울/삼정호텔/선정릉 라마다호텔/봉은사 롯데면세점/코엑스 에스엠타운/롯데호텔 / 롯데월드/롯데월드타워/올림픽공원/잠실종합운동장/삼성역/K-POP엔터테인먼트사/한류스타거리/압구정로데오거리/강남관광정보센터 현대백화점/가로수길 남단/세빛섬/고속터미널상가 신세계백화점/서래마을/교대역/삼성딜라이트/ 강남역,경유지정보: 강남역 빛의 거리+강남스퀘어+국기원+선정릉+봉은사+코엑스+롯데월드+롯데월드타워+올림픽공원+청담동 명품거리+압구정로데오거리+가로수길 | 부가정보: 강남역 11번 출구에서 200미터 직진 시 강남시티투어 안내소 위치 | 운행정보: 매주 월요일 휴행,서울특별시 강남구,-
1,2,,공공데이터포털,시티투어데이터 DB,하이라이트코스,,,,고정형,,,시티투어문의처: 서울투어버스여행㈜ 1544-4239 | 관리기관문의처: 02-2133-2775,서울특별시,http://www.seoultrolley.co.kr,성인15000+소인10000 | 5세까지(무료),"탑승장소: 동대문디자인플라자(출발,종착역)",10:00-18:50,코스정보: 동대문디자인플라자(출발)-서울숲공원-한강 뚝섬유원지-롯데월드타워-장미광장(케이팝공연장)-한성백제박물관-올림픽공원-건국대학교-성수역(수제화거리)-한양대학교-동대문디지털플라자(종착),경유지정보: 롯데월드어드벤처+소마미술관 | 부가정보:  -  | 운행정보: 화~일요일,서울특별시 송파구,-
2,3,,공공데이터포털,시티투어데이터 DB,어라운드 강남투어 코스,,,,고정형,,,시티투어문의처: 서울타이거버스 777-6090 | 관리기관문의처: 02-2133-2775,서울특별시,www.seoulcitybus.com,성인12000+소인10000 | 5세까지(무료),"탑승장소: 강남역(출발,종착역)",10:20-18:50,코스정보: 강남역(출발)-리츠칼튼호텔-삼정호텔-라마다호텔-봉은사-코엑스-롯데월드-롯데월드타워-올림픽공원-잠실종합운동장-삼성역-K-POP 엔터테인먼트사-한류스타거리-압구정로데오- 현대백화점-가로수길- 세빛섬-신세계백화점-서래마을-교대역-삼성딜라이트-강남역(종착),경유지정보: 롯데월드어드벤처+한성백제박물관 | 부가정보:  -  | 운행정보: 화~일요일,서울특별시 송파구,-
3,4,MPKB22,수원박물관,이뮤지엄 DB,심상,,www.emuseum.go.kr/openapi/img?serviceKey=JFDfqCOMb1IuGPg1p30L9Jfj7mr0QKgTaEQ%2FR%2FuumDQUdzhwFJglwqTL9pqXvy%2B%2BLeZWGzWrJlf84GvqdUczO3Ow8bATaHiB6P2OylXms4bYb3ka4EhktaFZl0IRRJQSmg5Kw14BjEE%3D&imageId=YndhQ3hPOXg4RnFyTUNwUmhETVMrSmRPeFdHczdCYTZlL0V5ZmFhdmZBVnhhQU9UeXZkenNDdm9CVEo3L01mWE1oYzJFREVvcHRzPQ%3D%3D,心象,"세로 22cm, 가로 15,1cm",종이-면지,광복이후,,,,,,,심상사 문학잡지,문화예술-문헌-문학-수필,국적:한국||출토지:서울특별시,http://www.emuseum.go.kr/detail?relicId=PS0100331901200057400000
4,5,MPKB22,인천시립,이뮤지엄 DB,백자청화구름용무늬항아리,,www.emuseum.go.kr/openapi/img?serviceKey=cIvH69fj2xGSFdPvBOzc1uFZSGVk%2BbKVcMAtGx8mRBZ5bRV3rdp90L9BieeBxAKbgjQgbgxmPoTQQF8vBCxFGl133TQ1%2F42701sOcQS0w3E7%2FnD2Ipj%2BqQSbSlRKF5NBp%2FMhlNUo9jg%3D&imageId=Z0xXb29kcmdNRUR2aUplSXBXeEdUVnRhVmdUR25DeVlrbjU0SGRnSGVwQkEraWIyWjRvTHpVTHFLaVBPNENSMg%3D%3D,白瓷靑畵雲龍文壺,"높이 44.5cm, 입지름 14cm, 바닥지름 15cm",도자기-백자,조선,,,,,,,"기물의 높이가 높고 어깨에 양감이 풍부한 반면 서서히 하체가 좁아져 저부와 만나는 입호(立壺) 형태의 청화백자 항아리이다. 목이 높게 직립한 모양이 19세기 항아리의 전형을 보여준다. 표면에는 구름 속을 노닐 듯 꿈틀거리며 날아오를 것 같은 용의 몸과 생생한 표정의 얼굴을 실감나게 표현하였다.
용이 그려진 항아리, 용준(龍樽)은 조선시대 왕실에서 제례, 연회와 같은 특수한 자리에 술을 담거나 꽃을 꽂아 장식하는 용도로 상당수 제작된 것이다. 시기에 따라서는 기형, 문양구성, 표현방식에 세부적인 차이가 생겨나기도 한다. 각종 의궤와 궁중기록화에 전하는 용 그림이 있는 항아리를 통해 이를 알 수 있다. 본 유물은 몸통 전면에 몰아치듯 요동하는 두 마리의 용을 청화로 그려 넣고 그 주위를 크고 작은 구름무늬로 메웠는데, 청화 안료의 농담을 통해 몸통을 거의 꽉 채운 문양장식이 화려한 느낌을 준다. 구연부와 몸통 저부에는 두 줄의 청화 선을 돌렸고 목 둘레를 따라 도안화 된 구름무늬를 장식하였다. 굽은 외면을 안으로 경사지게 깎았다. 조선 후기 백자 특유의 푸른색이 감도는 유약은 굽바닥을 포함한 전면에 입혔으며, 굽바닥 일부에는 유약이 뭉쳐 있다. 전체적으로 안정된 기형과 풍부한 양감, 활력 있는 청화의 문양표현이 돋보이는 유물이다.",식생활-음식기-음식-병,국적:한국||출토지:서울특별시,http://www.emuseum.go.kr/detail?relicId=PS0100300100100137800000
5,1,,공공데이터포털,시티투어데이터 DB,어라운드 강남 코스,,,,순환형,,,시티투어문의처: 02-777-6090(서울시티투어버스 본점) | 관리기관문의처: 02-3423-5546,서울특별시 강남구청,http://www.seoulcitybus.com,성인15000/소인12000 | 강남북 통합권성인 24000원~35000원,탑승장소: 강남역 및 어라운드 강남코스 모든 정류소,연중 화요일~일요일 운행(매주 월요일 휴행),코스정보: 강남역/노보텔 르메르디앙서울/삼정호텔/선정릉 라마다호텔/봉은사 롯데면세점/코엑스 에스엠타운/롯데호텔 / 롯데월드/롯데월드타워/올림픽공원/잠실종합운동장/삼성역/K-POP엔터테인먼트사/한류스타거리/압구정로데오거리/강남관광정보센터 현대백화점/가로수길 남단/세빛섬/고속터미널상가 신세계백화점/서래마을/교대역/삼성딜라이트/ 강남역,경유지정보: 강남역 빛의 거리+강남스퀘어+국기원+선정릉+봉은사+코엑스+롯데월드+롯데월드타워+올림픽공원+청담동 명품거리+압구정로데오거리+가로수길 | 부가정보: 강남역 11번 출구에서 200미터 직진 시 강남시티투어 안내소 위치 | 운행정보: 매주 월요일 휴행,서울특별시 강남구,-
6,2,,공공데이터포털,시티투어데이터 DB,하이라이트코스,,,,고정형,,,시티투어문의처: 서울투어버스여행㈜ 1544-4239 | 관리기관문의처: 02-2133-2775,서울특별시,http://www.seoultrolley.co.kr,성인15000+소인10000 | 5세까지(무료),"탑승장소: 동대문디자인플라자(출발,종착역)",10:00-18:50,코스정보: 동대문디자인플라자(출발)-서울숲공원-한강 뚝섬유원지-롯데월드타워-장미광장(케이팝공연장)-한성백제박물관-올림픽공원-건국대학교-성수역(수제화거리)-한양대학교-동대문디지털플라자(종착),경유지정보: 롯데월드어드벤처+소마미술관 | 부가정보:  -  | 운행정보: 화~일요일,서울특별시 송파구,-
7,3,,공공데이터포털,시티투어데이터 DB,어라운드 강남투어 코스,,,,고정형,,,시티투어문의처: 서울타이거버스 777-6090 | 관리기관문의처: 02-2133-2775,서울특별시,www.seoulcitybus.com,성인12000+소인10000 | 5세까지(무료),"탑승장소: 강남역(출발,종착역)",10:20-18:50,코스정보: 강남역(출발)-리츠칼튼호텔-삼정호텔-라마다호텔-봉은사-코엑스-롯데월드-롯데월드타워-올림픽공원-잠실종합운동장-삼성역-K-POP 엔터테인먼트사-한류스타거리-압구정로데오- 현대백화점-가로수길- 세빛섬-신세계백화점-서래마을-교대역-삼성딜라이트-강남역(종착),경유지정보: 롯데월드어드벤처+한성백제박물관 | 부가정보:  -  | 운행정보: 화~일요일,서울특별시 송파구,-
8,4,MPKB22,수원박물관,이뮤지엄 DB,심상,,www.emuseum.go.kr/openapi/img?serviceKey=JFDfqCOMb1IuGPg1p30L9Jfj7mr0QKgTaEQ%2FR%2FuumDQUdzhwFJglwqTL9pqXvy%2B%2BLeZWGzWrJlf84GvqdUczO3Ow8bATaHiB6P2OylXms4bYb3ka4EhktaFZl0IRRJQSmg5Kw14BjEE%3D&imageId=YndhQ3hPOXg4RnFyTUNwUmhETVMrSmRPeFdHczdCYTZlL0V5ZmFhdmZBVnhhQU9UeXZkenNDdm9CVEo3L01mWE1oYzJFREVvcHRzPQ%3D%3D,心象,"세로 22cm, 가로 15,1cm",종이-면지,광복이후,,,,,,,심상사 문학잡지,문화예술-문헌-문학-수필,국적:한국||출토지:서울특별시,http://www.emuseum.go.kr/detail?relicId=PS0100331901200057400000
9,5,MPKB22,인천시립,이뮤지엄 DB,백자청화구름용무늬항아리,,www.emuseum.go.kr/openapi/img?serviceKey=cIvH69fj2xGSFdPvBOzc1uFZSGVk%2BbKVcMAtGx8mRBZ5bRV3rdp90L9BieeBxAKbgjQgbgxmPoTQQF8vBCxFGl133TQ1%2F42701sOcQS0w3E7%2FnD2Ipj%2BqQSbSlRKF5NBp%2FMhlNUo9jg%3D&imageId=Z0xXb29kcmdNRUR2aUplSXBXeEdUVnRhVmdUR25DeVlrbjU0SGRnSGVwQkEraWIyWjRvTHpVTHFLaVBPNENSMg%3D%3D,白瓷靑畵雲龍文壺,"높이 44.5cm, 입지름 14cm, 바닥지름 15cm",도자기-백자,조선,,,,,,,"기물의 높이가 높고 어깨에 양감이 풍부한 반면 서서히 하체가 좁아져 저부와 만나는 입호(立壺) 형태의 청화백자 항아리이다. 목이 높게 직립한 모양이 19세기 항아리의 전형을 보여준다. 표면에는 구름 속을 노닐 듯 꿈틀거리며 날아오를 것 같은 용의 몸과 생생한 표정의 얼굴을 실감나게 표현하였다.
용이 그려진 항아리, 용준(龍樽)은 조선시대 왕실에서 제례, 연회와 같은 특수한 자리에 술을 담거나 꽃을 꽂아 장식하는 용도로 상당수 제작된 것이다. 시기에 따라서는 기형, 문양구성, 표현방식에 세부적인 차이가 생겨나기도 한다. 각종 의궤와 궁중기록화에 전하는 용 그림이 있는 항아리를 통해 이를 알 수 있다. 본 유물은 몸통 전면에 몰아치듯 요동하는 두 마리의 용을 청화로 그려 넣고 그 주위를 크고 작은 구름무늬로 메웠는데, 청화 안료의 농담을 통해 몸통을 거의 꽉 채운 문양장식이 화려한 느낌을 준다. 구연부와 몸통 저부에는 두 줄의 청화 선을 돌렸고 목 둘레를 따라 도안화 된 구름무늬를 장식하였다. 굽은 외면을 안으로 경사지게 깎았다. 조선 후기 백자 특유의 푸른색이 감도는 유약은 굽바닥을 포함한 전면에 입혔으며, 굽바닥 일부에는 유약이 뭉쳐 있다. 전체적으로 안정된 기형과 풍부한 양감, 활력 있는 청화의 문양표현이 돋보이는 유물이다.",식생활-음식기-음식-병,국적:한국||출토지:서울특별시,http://www.emuseum.go.kr/detail?relicId=PS0100300100100137800000
