,title,link
0,아스테리카: 팬텀 로즈 리프레인,https://store.steampowered.com/app/3690850/_/?snr=1_4_4__145_1
1,The Blood of Dawnwalker 더 블러드 오브 던워커,https://store.steampowered.com/app/3751260/The_Blood_of_Dawnwalker/?snr=1_4_4__145_2
2,Megastore: Tidy Up Together,https://store.steampowered.com/app/5027520/Megastore_Tidy_Up_Together/?snr=1_4_4__145_3
3,Moonlighter 2: The Endless Vault,https://store.steampowered.com/app/2350790/Moonlighter_2_The_Endless_Vault/?snr=1_4_4__145_4
4,BOMBANANA!,https://store.steampowered.com/app/4656000/BOMBANANA/?snr=1_4_4__145_5
5,Grail,https://store.steampowered.com/app/3597200/Grail/?snr=1_4_4__145_6
6,Zad Archery,https://store.steampowered.com/app/4412000/Zad_Archery/?snr=1_4_4__145_7
7,제노니아 1: 기억의 실타래,https://store.steampowered.com/app/4538960/_1/?snr=1_4_4__145_8
8,Big Ambitions,https://store.steampowered.com/app/1331550/Big_Ambitions/?snr=1_4_4__145_9
9,마녀의 정원,https://store.steampowered.com/app/2530470/_/?snr=1_4_4__145_10
