번호,가게명_원본,주소_원본,검색확인명,주소_상호_검증,음식종류,대표메뉴,가게특징,추천상황,맛_스타일,혼밥,술자리,매운맛,따뜻한국물,가벼운식사,오늘뭐먹지_검색태그,오늘뭐먹지_추천문장,조사신뢰도,웹검증출처,네이버지도_재확인,카카오맵_재확인,조사일
1,옛날황소곱창,서울 구로구 디지털로32나길 16 1층 (구로동),옛날황소곱창,주소/상호 확인,곱창·막창·대창,"곱창구이, 대창구이, 막창구이, 모듬구이, 특양구이, 곱창전골, 볶음밥",곱창구이 전문; 술모임; 회식; 저녁; 활기찬 분위기,"회식, 친구모임, 퇴근 후 술자리, 든든한 저녁","고소함, 진한맛, 구이, 뜨거움",△,◎,△,○,X,"곱창, 막창, 대창, 회식, 친구모임, 퇴근 후 술자리, 든든한 저녁, 고소함, 진한맛, 구이, 뜨거움, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://www.diningcode.com/list.dc?query=%EC%98%9B%EB%82%A0%ED%99%A9%EC%86%8C%EA%B3%B1%EC%B0%BD%20%EA%B5%AC%EB%A1%9C%EB%8F%99,https://map.naver.com/p/search/%EC%98%9B%EB%82%A0%ED%99%A9%EC%86%8C%EA%B3%B1%EC%B0%BD%20%EC%84%9C%EC%9A%B8%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EB%94%94%EC%A7%80%ED%84%B8%EB%A1%9C32%EB%82%98%EA%B8%B8%2016%201%EC%B8%B5%20%28%EA%B5%AC%EB%A1%9C%EB%8F%99%29,https://map.kakao.com/?q=%EC%98%9B%EB%82%A0%ED%99%A9%EC%86%8C%EA%B3%B1%EC%B0%BD%20%EC%84%9C%EC%9A%B8%20%EA%B5%AC%EB%A1%9C%EA%B5%AC%20%EB%94%94%EC%A7%80%ED%84%B8%EB%A1%9C32%EB%82%98%EA%B8%B8%2016%201%EC%B8%B5%20%28%EA%B5%AC%EB%A1%9C%EB%8F%99%29,2026-09-14
2,프레시랩 동작점,서울 동작구 국사봉2길 19 102호 (신대방동),프레시랩 동작점,주소/상호 확인,샐러드·건강식,"새우 리코타 샐러드, 단호박 리코타 샐러드, 샐러드류, 콜드브루",가벼운 식사; 채소 위주; 다이어트 식단; 포장하기 좋은 메뉴,"점심, 다이어트, 가볍게 먹기, 운동 전후","신선함, 담백함, 산뜻함, 차가운 메뉴",◎,X,X,X,◎,"샐러드, 건강식, 점심, 다이어트, 가볍게 먹기, 운동 전후, 신선함, 담백함, 산뜻함, 차가운 메뉴, 혼밥좋음, 가벼운식사",가볍고 부담 적은 메뉴를 먹고 싶은 날,중간,https://search.naver.com/search.naver?query=%ED%94%84%EB%A0%88%EC%8B%9C%EB%9E%A9%20%EB%8F%99%EC%9E%91%EC%A0%90%20%EA%B5%AD%EC%82%AC%EB%B4%892%EA%B8%B8%2019,https://map.naver.com/p/search/%ED%94%84%EB%A0%88%EC%8B%9C%EB%9E%A9%20%EB%8F%99%EC%9E%91%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%892%EA%B8%B8%2019%20102%ED%98%B8%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%ED%94%84%EB%A0%88%EC%8B%9C%EB%9E%A9%20%EB%8F%99%EC%9E%91%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%892%EA%B8%B8%2019%20102%ED%98%B8%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
3,유가네한우곰탕 본점,서울 동작구 국사봉1길 18 1층 (상도동),유가네한우곰탕 본점,주소/상호 확인,곰탕·국밥·해장국,"한우소머리곰탕, 곰탕, 돼지국밥, 뼈해장국, 설렁탕, 순대국, 육개장, 도가니탕",국물 메뉴 다양; 혼밥; 해장; 든든한 한 끼; 장시간 영업 정보 노출,"아침/점심, 혼밥, 해장, 추운 날, 든든하게","진한 국물, 구수함, 뜨끈함, 얼큰 선택 가능",◎,△,○,◎,△,"곰탕, 국밥, 해장국, 아침, 점심, 혼밥, 해장, 추운 날, 든든하게, 진한 국물, 구수함, 뜨끈함, 얼큰 선택 가능, 혼밥좋음, 국물",따뜻한 국물 한 끼가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%9C%A0%EA%B0%80%EB%84%A4%ED%95%9C%EC%9A%B0%EA%B3%B0%ED%83%95%20%EB%B3%B8%EC%A0%90%20%EC%83%81%EB%8F%84%EB%8F%99,https://map.naver.com/p/search/%EC%9C%A0%EA%B0%80%EB%84%A4%ED%95%9C%EC%9A%B0%EA%B3%B0%ED%83%95%20%EB%B3%B8%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2018%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,https://map.kakao.com/?q=%EC%9C%A0%EA%B0%80%EB%84%A4%ED%95%9C%EC%9A%B0%EA%B3%B0%ED%83%95%20%EB%B3%B8%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EA%B5%AD%EC%82%AC%EB%B4%891%EA%B8%B8%2018%201%EC%B8%B5%20%28%EC%83%81%EB%8F%84%EB%8F%99%29,2026-09-14
4,모스키친,서울 동작구 보라매로 91 1층 (신대방동),모스키친,주소/상호 확인,돈카츠·일식,"등심카츠, 안심카츠, 특등심카츠",돈카츠 전문; 바 좌석; 깔끔한 분위기; 혼밥; 데이트,"점심, 혼밥, 데이트, 바삭한 메뉴가 당길 때","바삭함, 육즙, 담백함, 고소함",◎,△,X,X,△,"돈카츠, 일식, 점심, 혼밥, 데이트, 바삭한 메뉴가 당길 때, 바삭함, 육즙, 담백함, 고소함, 혼밥좋음",돈카츠·일식 메뉴가 당기는 날,높음,https://www.dongjak.go.kr/healthcare/main/contents.do?menuNo=300380,https://map.naver.com/p/search/%EB%AA%A8%EC%8A%A4%ED%82%A4%EC%B9%9C%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2091%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EB%AA%A8%EC%8A%A4%ED%82%A4%EC%B9%9C%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%2091%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
5,주성이네,서울 동작구 여의대방로22길 121 보라매자이 더 포레스트 상가,주성이네,상가 내 호수 정보 검색 확인,포차·닭도리탕·술안주,"대왕대창닭도리탕, 매운스지조림",신생 포차; 안주 중심; 편안한 분위기; 주차 가능 정보; 포장,"퇴근 후 술자리, 친구모임, 매운 안주, 저녁","매콤함, 진한 양념, 뜨거움, 술안주",△,◎,◎,○,X,"포차, 닭도리탕, 술안주, 퇴근 후 술자리, 친구모임, 매운 안주, 저녁, 매콤함, 진한 양념, 뜨거움, 술자리좋음, 매운맛",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://postmate.waffle-gl.org/link/detail/brk2486/223738539803,https://map.naver.com/p/search/%EC%A3%BC%EC%84%B1%EC%9D%B4%EB%84%A4%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,https://map.kakao.com/?q=%EC%A3%BC%EC%84%B1%EC%9D%B4%EB%84%A4%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C22%EA%B8%B8%20121%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EC%9E%90%EC%9D%B4%20%EB%8D%94%20%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%20%EC%83%81%EA%B0%80,2026-09-14
6,기계우동,서울 동작구 여의대방로24길 140 1층 (신대방동),기계우동,주소/상호 확인,우동·분식·짜장,"우동, 짜장, 짜장밥",빠른 한 끼; 가성비; 혼밥; 야식; 옛날식 분식 느낌,"혼밥, 간단한 점심, 야식, 저렴하게","뜨끈함, 짭짤함, 익숙한 맛",◎,X,△,◎,○,"우동, 분식, 짜장, 혼밥, 간단한 점심, 야식, 저렴하게, 뜨끈함, 짭짤함, 익숙한 맛, 혼밥좋음, 국물",따뜻한 국물 한 끼가 당기는 날,높음,https://search.naver.com/search.naver?query=%EA%B8%B0%EA%B3%84%EC%9A%B0%EB%8F%99%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%20140,https://map.naver.com/p/search/%EA%B8%B0%EA%B3%84%EC%9A%B0%EB%8F%99%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%20140%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EA%B8%B0%EA%B3%84%EC%9A%B0%EB%8F%99%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%20140%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
7,엉터리생고기 무한리필 신대방삼거리점,서울 동작구 여의대방로24길 141 2층 (대방동),엉터리생고기 무한리필 신대방삼거리점,주소/상호 확인,삼겹살·고기 무한리필,"삼겹살 무한리필, 고기 무한리필 세트, 셀프바",무한리필; 가성비; 단체모임; 셀프바; 배부르게 먹기,"회식, 단체, 많이 먹고 싶은 날, 저녁","고소함, 구이, 든든함",△,◎,X,△,X,"삼겹살, 고기 무한리필, 회식, 단체, 많이 먹고 싶은 날, 저녁, 고소함, 구이, 든든함, 술자리좋음",저녁에 음식과 술을 같이 즐기고 싶은 날,높음,https://search.naver.com/search.naver?query=%EC%97%89%ED%84%B0%EB%A6%AC%EC%83%9D%EA%B3%A0%EA%B8%B0%20%EB%AC%B4%ED%95%9C%EB%A6%AC%ED%95%84%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90,https://map.naver.com/p/search/%EC%97%89%ED%84%B0%EB%A6%AC%EC%83%9D%EA%B3%A0%EA%B8%B0%20%EB%AC%B4%ED%95%9C%EB%A6%AC%ED%95%84%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%20141%202%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%97%89%ED%84%B0%EB%A6%AC%EC%83%9D%EA%B3%A0%EA%B8%B0%20%EB%AC%B4%ED%95%9C%EB%A6%AC%ED%95%84%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EC%82%BC%EA%B1%B0%EB%A6%AC%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%20141%202%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
8,탕화쿵푸마라탕 대방점,서울 동작구 보라매로 113 코스모빌딩 2층 203호 (대방동),탕화쿵푸마라탕 대방점,주소/상호 확인,마라탕·마라샹궈,"마라탕, 마라샹궈, 꿔바로우, 볶음밥",재료 선택형; 맵기 조절; 혼밥; 배달; 해장용 매운 국물,"매운 음식, 혼밥, 해장, 친구와 점심/저녁","얼얼함, 매콤함, 향신료, 뜨거운 국물",◎,△,◎,◎,△,"마라탕, 마라샹궈, 매운 음식, 혼밥, 해장, 친구와 점심, 저녁, 얼얼함, 매콤함, 향신료, 뜨거운 국물, 혼밥좋음, 매운맛, 국물",뜨끈하고 매콤한 국물로 속을 풀고 싶은 날,높음,https://search.naver.com/search.naver?query=%ED%83%95%ED%99%94%EC%BF%B5%ED%91%B8%EB%A7%88%EB%9D%BC%ED%83%95%20%EB%8C%80%EB%B0%A9%EC%A0%90,https://map.naver.com/p/search/%ED%83%95%ED%99%94%EC%BF%B5%ED%91%B8%EB%A7%88%EB%9D%BC%ED%83%95%20%EB%8C%80%EB%B0%A9%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%20113%20%EC%BD%94%EC%8A%A4%EB%AA%A8%EB%B9%8C%EB%94%A9%202%EC%B8%B5%20203%ED%98%B8%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%ED%83%95%ED%99%94%EC%BF%B5%ED%91%B8%EB%A7%88%EB%9D%BC%ED%83%95%20%EB%8C%80%EB%B0%A9%EC%A0%90%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EB%B3%B4%EB%9D%BC%EB%A7%A4%EB%A1%9C%20113%20%EC%BD%94%EC%8A%A4%EB%AA%A8%EB%B9%8C%EB%94%A9%202%EC%B8%B5%20203%ED%98%B8%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
9,서일순대국 별관,서울 동작구 여의대방로24길 16 1층 (신대방동),서일순대국 별관,주소/상호 확인,순대국·국밥,"순대국, 머리고기/수육류, 국밥류",노포 분위기; 푸짐한 국밥; 해장; 혼밥; 별관 운영,"해장, 점심, 혼밥, 추운 날, 든든한 한 끼","진한 국물, 구수함, 뜨끈함",◎,○,○,◎,X,"순대국, 국밥, 해장, 점심, 혼밥, 추운 날, 든든한 한 끼, 진한 국물, 구수함, 뜨끈함, 혼밥좋음, 국물",따뜻한 국물 한 끼가 당기는 날,높음,https://search.naver.com/search.naver?query=%EC%84%9C%EC%9D%BC%EC%88%9C%EB%8C%80%EA%B5%AD%20%EB%B3%84%EA%B4%80%20%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99,https://map.naver.com/p/search/%EC%84%9C%EC%9D%BC%EC%88%9C%EB%8C%80%EA%B5%AD%20%EB%B3%84%EA%B4%80%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%2016%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EC%84%9C%EC%9D%BC%EC%88%9C%EB%8C%80%EA%B5%AD%20%EB%B3%84%EA%B4%80%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%2016%201%EC%B8%B5%20%28%EC%8B%A0%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
10,동화장,서울 동작구 여의대방로24길 137 2층 (대방동),동화장,주소/상호 확인,중식,"짜장면, 짬뽕, 간짜장, 볶음밥, 탕수육",동네 중국집; 식사 메뉴 다양; 탕수육 곁들이기; 점심·저녁,"점심, 가족식사, 짜장/짬뽕 고민될 때, 배부르게","불맛, 짭짤함, 달큰함, 얼큰함 선택",◎,○,○,○,△,"중식, 점심, 가족식사, 짜장, 짬뽕 고민될 때, 배부르게, 불맛, 짭짤함, 달큰함, 얼큰함 선택, 혼밥좋음",중식 메뉴가 당기는 날,높음,https://search.naver.com/search.naver?query=%EB%8F%99%ED%99%94%EC%9E%A5%20%EB%8C%80%EB%B0%A9%EB%8F%99%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%20137,https://map.naver.com/p/search/%EB%8F%99%ED%99%94%EC%9E%A5%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%20137%202%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,https://map.kakao.com/?q=%EB%8F%99%ED%99%94%EC%9E%A5%20%EC%84%9C%EC%9A%B8%20%EB%8F%99%EC%9E%91%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%8C%80%EB%B0%A9%EB%A1%9C24%EA%B8%B8%20137%202%EC%B8%B5%20%28%EB%8C%80%EB%B0%A9%EB%8F%99%29,2026-09-14
