"관리번호","자치구","와이파이명","도로명주소","설치유형","설치기관","서비스구분","망종류","설치년도","실내외구분","Y좌표","X좌표","작업일자"
"24서울-0001","중구","서울시청 서소문제1청사","덕수궁길 15","4. 문화관광","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","37.564327","126.97565","2026-09-08 03:00:12.948"
"24서울-0002","중구","서울시청 서소문제1청사","덕수궁길 15","4. 문화관광","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","37.564327","126.97565","2026-09-08 03:00:12.948"
"24서울-0003","성동구","성동구청 송정동 공공복합청사","송정18가길 9","7-2-2. 공공 - 구의회 및 보건소","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","37.554222","127.06895","2026-09-08 03:00:12.949"
"24서울-0004","성동구","성동구청 송정동 공공복합청사","송정18가길 9","7-2-2. 공공 - 구의회 및 보건소","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","37.554222","127.06895","2026-09-08 03:00:12.949"
"24서울-0005","강동구","강동리본센터","강동구 양재대로81길 73","6-6. 복지 - 기타","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","37.523857","127.13023","2026-09-08 03:00:12.95"
"24서울-0006","강동구","강동리본센터","강동구 양재대로81길 73","6-6. 복지 - 기타","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","37.523857","127.13023","2026-09-08 03:00:12.95"
"24서울-0007","용산구","용산 청소년복합문화공간","용산구 한남동 90-4 B1층","6-4. 복지 - 아동청소년","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","37.531967","127.00727","2026-09-08 03:00:12.95"
"24서울-0008","용산구","용산 청소년복합문화공간","용산구 한남동 90-4 B1층","6-4. 복지 - 아동청소년","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","37.531967","127.00727","2026-09-08 03:00:12.95"
"24서울-0009","동대문구","동대문구 보건소","서울특별시 동대문구 천호대로 145(용두동)","7-2-2. 공공 - 구의회 및 보건소","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","37.574223","127.03991","2026-09-08 03:00:12.953"
"24서울-0010","동대문구","동대문구 보건소","서울특별시 동대문구 천호대로 145(용두동)","7-2-2. 공공 - 구의회 및 보건소","디지털뉴딜(LG U+)","공공WiFi","임대망","2024","실내","37.574223","127.03991","2026-09-08 03:00:12.953"
"ARI00001","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.953"
"ARI00003","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.953"
"ARI00004","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.954"
"ARI00005","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.954"
"ARI00006","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.954"
"ARI00008","서대문구","서울아리수본부","서소문로 51","7-1-3. 공공 - 시산하기관","서울시(AP)","공공WiFi","자가망","2024","실내","37.561924","126.96675","2026-09-08 03:00:12.955"
